Date,SKU,Promo_Flag,Promo_Type,Discount_Rate
2024-03-30,MA-SKU-0194,0,Bundle,0.1
2024-08-20,MA-SKU-0213,0,Display,0.19
2024-10-06,MA-SKU-0113,1,Display,0.1
2024-05-24,MA-SKU-0241,0,Display,0.1
2023-07-02,MA-SKU-0123,0,Discount,0.19
2024-01-21,MA-SKU-0075,0,Display,0.15
2024-07-27,MA-SKU-0195,0,Discount,0.19
2024-12-31,MA-SKU-0043,0,Discount,0.3
2024-02-09,MA-SKU-0185,0,Discount,0.26
2023-09-03,MA-SKU-0245,0,Discount,0.05
2024-08-13,MA-SKU-0083,1,Discount,0.06
2024-10-22,MA-SKU-0206,0,Bundle,0.2
2024-10-11,MA-SKU-0150,1,Discount,0.21
2024-04-15,MA-SKU-0155,0,Discount,0.27
2024-02-27,MA-SKU-0015,0,Bundle,0.21
2023-03-06,MA-SKU-0164,0,Bundle,0.11
2023-01-13,MA-SKU-0144,0,Bundle,0.17
2023-08-01,MA-SKU-0036,0,Display,0.25
2023-08-30,MA-SKU-0044,0,Display,0.28
2024-05-07,MA-SKU-0205,0,Discount,0.11
2023-08-01,MA-SKU-0061,1,Discount,0.18
2024-11-23,MA-SKU-0018,1,Discount,0.09
2023-12-04,MA-SKU-0299,0,Discount,0.17
2023-06-22,MA-SKU-0006,1,Bundle,0.07
2024-11-02,MA-SKU-0248,0,Display,0.29
2023-06-13,MA-SKU-0116,0,Bundle,0.21
2024-04-09,MA-SKU-0067,0,Display,0.26
2024-05-11,MA-SKU-0033,0,Bundle,0.3
2024-11-30,MA-SKU-0193,0,Discount,0.1
2024-01-30,MA-SKU-0054,1,Display,0.22
2024-12-03,MA-SKU-0265,0,Discount,0.27
2023-11-04,MA-SKU-0041,0,Display,0.19
2023-07-02,MA-SKU-0296,1,Display,0.21
2024-09-20,MA-SKU-0230,0,Discount,0.15
2024-05-24,MA-SKU-0009,0,Discount,0.22
2024-12-08,MA-SKU-0127,0,Discount,0.15
2024-06-29,MA-SKU-0178,0,Bundle,0.17
2024-07-17,MA-SKU-0192,0,Display,0.08
2024-09-15,MA-SKU-0091,0,Display,0.05
2024-08-16,MA-SKU-0230,0,Display,0.06
2023-08-15,MA-SKU-0077,1,Discount,0.1
2024-03-11,MA-SKU-0084,1,Display,0.16
2024-02-26,MA-SKU-0029,0,Display,0.06
2024-07-07,MA-SKU-0212,0,Discount,0.09
2023-01-21,MA-SKU-0048,0,Discount,0.25
2024-07-07,MA-SKU-0264,1,Display,0.24
2024-02-01,MA-SKU-0144,0,Bundle,0.25
2024-09-16,MA-SKU-0068,0,Discount,0.28
2023-04-15,MA-SKU-0057,1,Bundle,0.08
2023-07-11,MA-SKU-0184,1,Bundle,0.09
2023-01-17,MA-SKU-0061,0,Bundle,0.13
2023-04-30,MA-SKU-0295,0,Bundle,0.28
2024-01-28,MA-SKU-0165,0,Discount,0.24
2024-02-29,MA-SKU-0170,0,Display,0.13
2023-05-09,MA-SKU-0062,0,Display,0.07
2023-05-10,MA-SKU-0146,0,Discount,0.2
2024-07-25,MA-SKU-0160,0,Discount,0.11
2024-07-13,MA-SKU-0140,0,Bundle,0.18
