Date,Country,Channel,Brand,SKU,Promo_Flag,Actual_Units,Naive_Forecast,MA_Forecast,SES_Forecast,HW_Forecast
2022-01-01,FR,Retail,NutriBox,NB-FR-001,0,86,86,101,106,105
2022-01-02,FR,Retail,NutriBox,NB-FR-001,0,59,59,72,77,70
2022-01-03,FR,Retail,NutriBox,NB-FR-001,0,76,76,74,78,84
2022-01-04,FR,Retail,NutriBox,NB-FR-001,0,101,101,96,93,91
2022-01-05,FR,Retail,NutriBox,NB-FR-001,0,81,81,85,82,76
2022-01-06,FR,Retail,NutriBox,NB-FR-001,0,82,82,93,96,106
2022-01-07,FR,Retail,NutriBox,NB-FR-001,1,126,126,115,124,105
2022-01-08,FR,Retail,NutriBox,NB-FR-001,0,125,125,111,111,118
2022-01-09,FR,Retail,NutriBox,NB-FR-001,0,67,67,67,63,60
2022-01-10,FR,Retail,NutriBox,NB-FR-001,0,86,86,90,90,93
2022-01-11,FR,Retail,NutriBox,NB-FR-001,0,54,54,47,45,47
2022-01-12,FR,Retail,NutriBox,NB-FR-001,0,81,81,96,91,95
2022-01-13,FR,Retail,NutriBox,NB-FR-001,0,120,120,115,98,100
2022-01-14,FR,Retail,NutriBox,NB-FR-001,0,80,80,71,74,77
2022-01-15,FR,Retail,NutriBox,NB-FR-001,0,66,66,65,59,60
2022-01-16,FR,Retail,NutriBox,NB-FR-001,0,93,93,85,91,88
2022-01-17,FR,Retail,NutriBox,NB-FR-001,0,109,109,119,101,122
2022-01-18,FR,Retail,NutriBox,NB-FR-001,0,134,134,130,128,129
2022-01-19,FR,Retail,NutriBox,NB-FR-001,0,81,81,69,74,69
2022-01-20,FR,Retail,NutriBox,NB-FR-001,0,96,96,81,80,88
2022-01-21,FR,Retail,NutriBox,NB-FR-001,0,49,49,43,42,40
2022-01-22,FR,Retail,NutriBox,NB-FR-001,0,75,75,80,69,84
2022-01-23,FR,Retail,NutriBox,NB-FR-001,0,77,77,70,80,74
2022-01-24,FR,Retail,NutriBox,NB-FR-001,0,89,89,77,74,74
2022-01-25,FR,Retail,NutriBox,NB-FR-001,0,81,81,80,81,86
2022-01-26,FR,Retail,NutriBox,NB-FR-001,0,79,79,67,63,62
2022-01-27,FR,Retail,NutriBox,NB-FR-001,0,62,62,57,57,70
2022-01-28,FR,Retail,NutriBox,NB-FR-001,1,141,141,137,124,124
2022-01-29,FR,Retail,NutriBox,NB-FR-001,0,122,122,120,124,116
2022-01-30,FR,Retail,NutriBox,NB-FR-001,0,92,92,91,102,112
2022-01-31,FR,Retail,NutriBox,NB-FR-001,0,59,59,71,65,82
2022-02-01,FR,Retail,NutriBox,NB-FR-001,0,50,50,53,44,45
2022-02-02,FR,Retail,NutriBox,NB-FR-001,0,114,114,127,120,140
