Week,Country,Channel,SKU,Units
2022-01-03,KE,Ecom,NB-INT-001,0
2022-01-10,KE,Ecom,NB-INT-001,0
2022-01-17,KE,Ecom,NB-INT-001,0
2022-01-24,KE,Ecom,NB-INT-001,0
2022-01-31,KE,Ecom,NB-INT-001,0
2022-02-07,KE,Ecom,NB-INT-001,0
2022-02-14,KE,Ecom,NB-INT-001,0
2022-02-21,KE,Ecom,NB-INT-001,0
2022-02-28,KE,Ecom,NB-INT-001,0
2022-03-07,KE,Ecom,NB-INT-001,12
2022-03-14,KE,Ecom,NB-INT-001,0
2022-03-21,KE,Ecom,NB-INT-001,14
2022-03-28,KE,Ecom,NB-INT-001,0
2022-04-04,KE,Ecom,NB-INT-001,0
2022-04-11,KE,Ecom,NB-INT-001,0
2022-04-18,KE,Ecom,NB-INT-001,14
2022-04-25,KE,Ecom,NB-INT-001,0
2022-05-02,KE,Ecom,NB-INT-001,0
2022-05-09,KE,Ecom,NB-INT-001,15
2022-05-16,KE,Ecom,NB-INT-001,0
2022-05-23,KE,Ecom,NB-INT-001,0
2022-05-30,KE,Ecom,NB-INT-001,0
2022-06-06,KE,Ecom,NB-INT-001,0
2022-06-13,KE,Ecom,NB-INT-001,0
2022-06-20,KE,Ecom,NB-INT-001,0
2022-06-27,KE,Ecom,NB-INT-001,0
2022-07-04,KE,Ecom,NB-INT-001,0
2022-07-11,KE,Ecom,NB-INT-001,0
2022-07-18,KE,Ecom,NB-INT-001,15
2022-07-25,KE,Ecom,NB-INT-001,17
2022-08-01,KE,Ecom,NB-INT-001,0
2022-08-08,KE,Ecom,NB-INT-001,0
2022-08-15,KE,Ecom,NB-INT-001,0
2022-08-22,KE,Ecom,NB-INT-001,0
2022-08-29,KE,Ecom,NB-INT-001,0
2022-09-05,KE,Ecom,NB-INT-001,14
2022-09-12,KE,Ecom,NB-INT-001,0
2022-09-19,KE,Ecom,NB-INT-001,0
2022-09-26,KE,Ecom,NB-INT-001,0
2022-10-03,KE,Ecom,NB-INT-001,10
2022-10-10,KE,Ecom,NB-INT-001,0
2022-10-17,KE,Ecom,NB-INT-001,0
2022-10-24,KE,Ecom,NB-INT-001,0
2022-10-31,KE,Ecom,NB-INT-001,16
2022-11-07,KE,Ecom,NB-INT-001,0
2022-11-14,KE,Ecom,NB-INT-001,7
2022-11-21,KE,Ecom,NB-INT-001,12
2022-11-28,KE,Ecom,NB-INT-001,0
2022-12-05,KE,Ecom,NB-INT-001,0
2022-12-12,KE,Ecom,NB-INT-001,0
2022-12-19,KE,Ecom,NB-INT-001,0
2022-12-26,KE,Ecom,NB-INT-001,0
2023-01-02,KE,Ecom,NB-INT-001,0
2023-01-09,KE,Ecom,NB-INT-001,0
2023-01-16,KE,Ecom,NB-INT-001,21
2023-01-23,KE,Ecom,NB-INT-001,0
2023-01-30,KE,Ecom,NB-INT-001,0
2023-02-06,KE,Ecom,NB-INT-001,0
2023-02-13,KE,Ecom,NB-INT-001,16
2023-02-20,KE,Ecom,NB-INT-001,0
2023-02-27,KE,Ecom,NB-INT-001,16
2023-03-06,KE,Ecom,NB-INT-001,0
2023-03-13,KE,Ecom,NB-INT-001,0
2023-03-20,KE,Ecom,NB-INT-001,0
2023-03-27,KE,Ecom,NB-INT-001,0
2023-04-03,KE,Ecom,NB-INT-001,0
2023-04-10,KE,Ecom,NB-INT-001,0
2023-04-17,KE,Ecom,NB-INT-001,0
2023-04-24,KE,Ecom,NB-INT-001,0
2023-05-01,KE,Ecom,NB-INT-001,0
2023-05-08,KE,Ecom,NB-INT-001,13
2023-05-15,KE,Ecom,NB-INT-001,0
2023-05-22,KE,Ecom,NB-INT-001,13
2023-05-29,KE,Ecom,NB-INT-001,0
2023-06-05,KE,Ecom,NB-INT-001,0
2023-06-12,KE,Ecom,NB-INT-001,0
2023-06-19,KE,Ecom,NB-INT-001,0
2023-06-26,KE,Ecom,NB-INT-001,0
2023-07-03,KE,Ecom,NB-INT-001,9
2023-07-10,KE,Ecom,NB-INT-001,0
2023-07-17,KE,Ecom,NB-INT-001,0
2023-07-24,KE,Ecom,NB-INT-001,0
2023-07-31,KE,Ecom,NB-INT-001,0
2023-08-07,KE,Ecom,NB-INT-001,0
2023-08-14,KE,Ecom,NB-INT-001,0
2023-08-21,KE,Ecom,NB-INT-001,0
2023-08-28,KE,Ecom,NB-INT-001,0
2023-09-04,KE,Ecom,NB-INT-001,10
2023-09-11,KE,Ecom,NB-INT-001,0
2023-09-18,KE,Ecom,NB-INT-001,0
2023-09-25,KE,Ecom,NB-INT-001,14
2023-10-02,KE,Ecom,NB-INT-001,0
2023-10-09,KE,Ecom,NB-INT-001,0
2023-10-16,KE,Ecom,NB-INT-001,15
2023-10-23,KE,Ecom,NB-INT-001,0
2023-10-30,KE,Ecom,NB-INT-001,0
2023-11-06,KE,Ecom,NB-INT-001,0
2023-11-13,KE,Ecom,NB-INT-001,0
2023-11-20,KE,Ecom,NB-INT-001,0
2023-11-27,KE,Ecom,NB-INT-001,0
2023-12-04,KE,Ecom,NB-INT-001,11
2023-12-11,KE,Ecom,NB-INT-001,0
2023-12-18,KE,Ecom,NB-INT-001,0
2023-12-25,KE,Ecom,NB-INT-001,0
2024-01-01,KE,Ecom,NB-INT-001,17
2024-01-08,KE,Ecom,NB-INT-001,0
2024-01-15,KE,Ecom,NB-INT-001,0
2024-01-22,KE,Ecom,NB-INT-001,17
2024-01-29,KE,Ecom,NB-INT-001,0
2024-02-05,KE,Ecom,NB-INT-001,0
2024-02-12,KE,Ecom,NB-INT-001,0
2024-02-19,KE,Ecom,NB-INT-001,0
2024-02-26,KE,Ecom,NB-INT-001,0
2024-03-04,KE,Ecom,NB-INT-001,0
2024-03-11,KE,Ecom,NB-INT-001,0
2024-03-18,KE,Ecom,NB-INT-001,0
2024-03-25,KE,Ecom,NB-INT-001,0
2024-04-01,KE,Ecom,NB-INT-001,0
