Date,Country,Channel,Brand,SKU,Actual_Units,Forecast_Units
2022-01-01,FR,Retail,NutriBox,NB-MC-001,77,92
2022-01-02,FR,Retail,NutriBox,NB-MC-001,80,80
2022-01-03,FR,Retail,NutriBox,NB-MC-001,96,86
2022-01-04,FR,Retail,NutriBox,NB-MC-001,85,70
2022-01-05,FR,Retail,NutriBox,NB-MC-001,72,84
2022-01-06,FR,Retail,NutriBox,NB-MC-001,66,87
2022-01-07,FR,Retail,NutriBox,NB-MC-001,74,81
2022-01-08,FR,Retail,NutriBox,NB-MC-001,63,64
2022-01-09,FR,Retail,NutriBox,NB-MC-001,70,70
2022-01-10,FR,Retail,NutriBox,NB-MC-001,91,86
2022-01-11,FR,Retail,NutriBox,NB-MC-001,58,65
2022-01-12,FR,Retail,NutriBox,NB-MC-001,88,89
2022-01-13,FR,Retail,NutriBox,NB-MC-001,99,77
2022-01-14,FR,Retail,NutriBox,NB-MC-001,81,73
2022-01-15,FR,Retail,NutriBox,NB-MC-001,79,75
2022-01-16,FR,Retail,NutriBox,NB-MC-001,116,111
2022-01-17,FR,Retail,NutriBox,NB-MC-001,84,89
2022-01-18,FR,Retail,NutriBox,NB-MC-001,68,75
2022-01-19,FR,Retail,NutriBox,NB-MC-001,54,57
2022-01-20,FR,Retail,NutriBox,NB-MC-001,103,92
2022-01-21,FR,Retail,NutriBox,NB-MC-001,85,100
2022-01-22,FR,Retail,NutriBox,NB-MC-001,68,68
2022-01-23,FR,Retail,NutriBox,NB-MC-001,55,55
2022-01-24,FR,Retail,NutriBox,NB-MC-001,68,67
2022-01-25,FR,Retail,NutriBox,NB-MC-001,91,80
2022-01-26,FR,Retail,NutriBox,NB-MC-001,95,84
2022-01-27,FR,Retail,NutriBox,NB-MC-001,79,73
2022-01-28,FR,Retail,NutriBox,NB-MC-001,85,71
2022-01-29,FR,Retail,NutriBox,NB-MC-001,75,70
2022-01-30,FR,Retail,NutriBox,NB-MC-001,60,54
2022-01-31,FR,Retail,NutriBox,NB-MC-001,50,48
2022-02-01,FR,Retail,NutriBox,NB-MC-001,72,82
2022-02-02,FR,Retail,NutriBox,NB-MC-001,98,96
2022-02-03,FR,Retail,NutriBox,NB-MC-001,91,75
2022-02-04,FR,Retail,NutriBox,NB-MC-001,82,82
2022-02-05,FR,Retail,NutriBox,NB-MC-001,69,83
2022-02-06,FR,Retail,NutriBox,NB-MC-001,66,65
2022-02-07,FR,Retail,NutriBox,NB-MC-001,87,85
2022-02-08,FR,Retail,NutriBox,NB-MC-001,77,75
2022-02-09,FR,Retail,NutriBox,NB-MC-001,90,80
2022-02-10,FR,Retail,NutriBox,NB-MC-001,83,95
2022-02-11,FR,Retail,NutriBox,NB-MC-001,92,87
2022-02-12,FR,Retail,NutriBox,NB-MC-001,85,80
2022-02-13,FR,Retail,NutriBox,NB-MC-001,85,85
2022-02-14,FR,Retail,NutriBox,NB-MC-001,85,83
2022-02-15,FR,Retail,NutriBox,NB-MC-001,48,45
2022-02-16,FR,Retail,NutriBox,NB-MC-001,88,60
2022-02-17,FR,Retail,NutriBox,NB-MC-001,102,90
2022-02-18,FR,Retail,NutriBox,NB-MC-001,87,108
2022-02-19,FR,Retail,NutriBox,NB-MC-001,88,81
2022-02-20,FR,Retail,NutriBox,NB-MC-001,72,79
2022-02-21,FR,Retail,NutriBox,NB-MC-001,72,74
2022-02-22,FR,Retail,NutriBox,NB-MC-001,86,82
2022-02-23,FR,Retail,NutriBox,NB-MC-001,81,75
2022-02-24,FR,Retail,NutriBox,NB-MC-001,74,67
2022-02-25,FR,Retail,NutriBox,NB-MC-001,69,72
2022-02-26,FR,Retail,NutriBox,NB-MC-001,62,64
2022-02-27,FR,Retail,NutriBox,NB-MC-001,93,117
2022-02-28,FR,Retail,NutriBox,NB-MC-001,89,69
2022-03-01,FR,Retail,NutriBox,NB-MC-001,78,69
2022-03-02,FR,Retail,NutriBox,NB-MC-001,86,91
2022-03-03,FR,Retail,NutriBox,NB-MC-001,96,89
2022-03-04,FR,Retail,NutriBox,NB-MC-001,90,80
2022-03-05,FR,Retail,NutriBox,NB-MC-001,88,71
2022-03-06,FR,Retail,NutriBox,NB-MC-001,71,80
2022-03-07,FR,Retail,NutriBox,NB-MC-001,60,72
2022-03-08,FR,Retail,NutriBox,NB-MC-001,80,84
2022-03-09,FR,Retail,NutriBox,NB-MC-001,54,66
2022-03-10,FR,Retail,NutriBox,NB-MC-001,76,89
2022-03-11,FR,Retail,NutriBox,NB-MC-001,80,80
2022-03-12,FR,Retail,NutriBox,NB-MC-001,78,79
2022-03-13,FR,Retail,NutriBox,NB-MC-001,116,91
2022-03-14,FR,Retail,NutriBox,NB-MC-001,88,89
2022-03-15,FR,Retail,NutriBox,NB-MC-001,57,53
2022-03-16,FR,Retail,NutriBox,NB-MC-001,84,103
2022-03-17,FR,Retail,NutriBox,NB-MC-001,83,89
2022-03-18,FR,Retail,NutriBox,NB-MC-001,73,82
2022-03-19,FR,Retail,NutriBox,NB-MC-001,86,99
2022-03-20,FR,Retail,NutriBox,NB-MC-001,102,92
2022-03-21,FR,Retail,NutriBox,NB-MC-001,97,92
2022-03-22,FR,Retail,NutriBox,NB-MC-001,95,85
2022-03-23,FR,Retail,NutriBox,NB-MC-001,68,71
2022-03-24,FR,Retail,NutriBox,NB-MC-001,67,52
2022-03-25,FR,Retail,NutriBox,NB-MC-001,80,82
2022-03-26,FR,Retail,NutriBox,NB-MC-001,47,63
2022-03-27,FR,Retail,NutriBox,NB-MC-001,52,49
2022-03-28,FR,Retail,NutriBox,NB-MC-001,72,90
2022-03-29,FR,Retail,NutriBox,NB-MC-001,74,73
2022-03-30,FR,Retail,NutriBox,NB-MC-001,77,58
2022-03-31,FR,Retail,NutriBox,NB-MC-001,89,78
2022-04-01,FR,Retail,NutriBox,NB-MC-001,62,67
2022-04-02,FR,Retail,NutriBox,NB-MC-001,136,101
2022-04-03,FR,Retail,NutriBox,NB-MC-001,61,52
2022-04-04,FR,Retail,NutriBox,NB-MC-001,75,72
2022-04-05,FR,Retail,NutriBox,NB-MC-001,86,97
2022-04-06,FR,Retail,NutriBox,NB-MC-001,73,75
