Week,Country,Brand,Product,SKU,Price,Promo_Flag,Promo_Depth,Distribution_Numeric,Distribution_Weighted,Total_Category_Sales,Product_Units,Competitor_Units,Cannibalisation_Index,Cross_Price_Elasticity,New_Customers,Returning_Customers,Switching_Customers,Churn,Share_Of_Segment,Forecast_Classic,Forecast_Zero
2021-01-04,FR,FreshBite,Classic,FB-CL-001,4.13,0,0.0,88.8,78.8,106593.48126366668,87063,15174,0.38248108174922835,-1.26,13766,59165,16950,4493,71.5,82814.0,
2021-01-04,FR,FreshBite,Classic,FB-CL-002,4.9,1,0.15,60.0,55.1,111188.97437012974,81272,20515,0.25953548363778606,-0.22,12804,33691,10561,11667,61.71,82146.0,
2021-01-04,FR,FreshBite,Classic,FB-CL-003,4.24,1,0.15,67.2,61.6,102339.26253894424,66761,28208,0.131741030293599,0.34,8416,43541,11482,5055,51.14,72022.0,
2021-01-04,FR,FreshBite,Classic,FB-CL-004,4.02,1,0.25,82.8,72.5,100005.31950664219,62011,24424,0.22860442763145025,0.04,9810,35500,5316,4043,49.84,57565.0,
2021-01-04,FR,FreshBite,Classic,FB-CL-005,5.0,0,0.0,98.7,77.8,118758.05784520066,88845,10640,0.11334683694278427,-0.84,19361,56252,16680,6247,68.66,95068.0,
2021-01-04,FR,FreshBite,Zero,FB-ZR-001,5.37,0,0.0,90.2,84.8,100893.17793673732,26712,33876,0.2177027143774729,-0.84,4825,15295,2136,2191,19.82,,28020.0
2021-01-04,FR,FreshBite,Zero,FB-ZR-002,4.7,0,0.0,87.8,69.9,105392.30153485623,35583,27253,0.32930070897134617,0.02,9304,16214,5790,1943,26.83,,37593.0
2021-01-04,FR,FreshBite,Zero,FB-ZR-003,4.74,0,0.0,80.6,69.6,89707.92599404156,24053,21560,0.05710335422308095,-0.07,5700,12414,1430,3457,21.62,,25698.0
2021-01-04,FR,FreshBite,Zero,FB-ZR-004,4.18,0,0.0,75.5,60.2,129862.26559249226,46727,19627,0.3782534977705073,-0.48,13354,18703,5507,3495,31.26,,52392.0
2021-01-04,FR,FreshBite,Zero,FB-ZR-005,4.0,0,0.0,65.5,65.2,95941.58418271344,30396,33515,0.15570876466741176,-0.14,8719,14862,1703,2692,23.48,,27768.0
2021-01-04,BE,FreshBite,Classic,FB-CL-001,4.84,0,0.0,87.7,72.1,95221.0496569915,59414,18847,0.0626240667087226,0.39,8510,35457,3303,6979,52.09,54871.0,
2021-01-04,BE,FreshBite,Classic,FB-CL-002,4.01,0,0.0,87.5,69.2,71106.12023206562,50984,23599,0.00036811374920602273,0.44,10295,30775,6665,5843,53.83,53010.0,
2021-01-04,BE,FreshBite,Classic,FB-CL-003,3.53,0,0.0,85.4,73.2,83090.7878395118,47443,10106,0.1245249915213722,-1.13,13928,23017,7211,3535,50.91,46485.0,
2021-01-04,BE,FreshBite,Classic,FB-CL-004,4.38,1,0.15,85.0,69.1,89590.1451438963,52262,5094,0.30163170807209566,-1.17,11277,23551,8500,6718,55.2,47262.0,
2021-01-04,BE,FreshBite,Classic,FB-CL-005,4.5,1,0.1,76.0,62.4,79143.99297394595,62100,27592,0.32808338117295466,-0.47,14811,26143,4620,7023,58.18,61994.0,
2021-01-04,BE,FreshBite,Zero,FB-ZR-001,4.71,0,0.0,79.1,76.2,85694.1297540978,26560,8375,0.09308593528352538,-0.8,4625,15543,3155,1460,28.23,,29182.0
2021-01-04,BE,FreshBite,Zero,FB-ZR-002,5.11,0,0.0,63.7,49.0,71049.12624805266,20736,29239,0.3746372686799102,-0.79,3043,8518,2611,1709,20.68,,23773.0
2021-01-04,BE,FreshBite,Zero,FB-ZR-003,3.77,0,0.0,81.0,57.1,70790.3445835357,17266,11043,0.3059042038670452,-1.16,3410,8370,2474,1284,21.1,,17297.0
2021-01-04,BE,FreshBite,Zero,FB-ZR-004,5.01,0,0.0,94.3,67.4,71176.17152301296,24824,36625,0.2729271436592783,0.24,4345,12122,4143,1757,23.03,,26681.0
2021-01-04,BE,FreshBite,Zero,FB-ZR-005,4.81,0,0.0,62.0,49.6,93114.59705738489,28422,13069,0.34176895738455615,-1.24,4807,19496,4430,2483,26.77,,31086.0
2021-01-04,DE,FreshBite,Classic,FB-CL-001,4.88,0,0.0,66.2,47.6,126882.20727875397,99891,28711,0.276920843864389,-0.2,26569,51579,15802,6457,64.2,98396.0,
2021-01-04,DE,FreshBite,Classic,FB-CL-002,4.96,0,0.0,67.2,65.1,123342.17675734099,96175,36022,0.35332425130529543,-1.0,18275,47719,11968,9202,60.35,87708.0,
2021-01-04,DE,FreshBite,Classic,FB-CL-003,4.06,0,0.0,72.5,57.5,162273.26746203494,119546,10130,0.21255264623842463,0.21,22842,65742,19370,12660,69.34,108474.0,
2021-01-04,DE,FreshBite,Classic,FB-CL-004,4.13,0,0.0,70.9,56.0,160606.52430996188,98097,6132,0.1802390547994327,-0.33,16300,61029,14448,9991,58.83,95538.0,
2021-01-04,DE,FreshBite,Classic,FB-CL-005,5.24,1,0.25,79.1,55.4,157092.8357885626,96509,16040,0.06604671269497993,-1.36,13358,41935,12319,11802,55.74,101268.0,
2021-01-04,DE,FreshBite,Zero,FB-ZR-001,5.06,0,0.0,85.8,76.3,141120.50936027925,34630,14934,0.27571260220794036,-0.78,9314,14234,6603,3458,22.19,,33327.0
2021-01-04,DE,FreshBite,Zero,FB-ZR-002,4.69,1,0.15,73.6,61.9,125068.75940487154,32832,38489,0.07194411049326525,-1.29,9299,15006,6221,3795,20.07,,36559.0
2021-01-04,DE,FreshBite,Zero,FB-ZR-003,4.54,0,0.0,60.4,57.0,132768.9102587873,42959,35536,0.36466057103956484,0.02,11248,19280,4767,5792,25.52,,46334.0
2021-01-04,DE,FreshBite,Zero,FB-ZR-004,4.47,0,0.0,83.6,77.3,177422.12736667928,51009,18190,0.1651889730077837,0.23,10687,28600,3718,4461,26.08,,51084.0
2021-01-04,DE,FreshBite,Zero,FB-ZR-005,3.78,0,0.0,68.2,66.2,139535.55012737145,49750,6844,0.09290704835625907,-1.45,9462,26781,2836,2959,33.99,,45969.0
