Date,Country,Region,SKU,Stakeholder,Forecast_Units,Actual_Units,Consensus_Units,Forecast_Error
2023-01-01,USA,East,VM_US_001,Sales,1726,1491,1696,235
2023-01-01,USA,East,VM_US_001,Marketing,1718,1491,1696,227
2023-01-01,USA,East,VM_US_001,Finance,1893,1491,1696,402
2023-01-01,USA,East,VM_US_001,System,1447,1491,1696,-44
2023-02-01,USA,East,VM_US_001,Sales,1233,1595,1477,-362
2023-02-01,USA,East,VM_US_001,Marketing,1529,1595,1477,-66
2023-02-01,USA,East,VM_US_001,Finance,1702,1595,1477,107
2023-02-01,USA,East,VM_US_001,System,1444,1595,1477,-151
2023-03-01,USA,East,VM_US_001,Sales,1594,1645,1572,-51
2023-03-01,USA,East,VM_US_001,Marketing,1630,1645,1572,-15
2023-03-01,USA,East,VM_US_001,Finance,1542,1645,1572,-103
2023-03-01,USA,East,VM_US_001,System,1522,1645,1572,-123
2023-04-01,USA,East,VM_US_001,Sales,1669,1597,1604,72
2023-04-01,USA,East,VM_US_001,Marketing,1476,1597,1604,-121
2023-04-01,USA,East,VM_US_001,Finance,1653,1597,1604,56
2023-04-01,USA,East,VM_US_001,System,1619,1597,1604,22
2023-05-01,USA,East,VM_US_001,Sales,1605,1902,1589,-297
2023-05-01,USA,East,VM_US_001,Marketing,1523,1902,1589,-379
2023-05-01,USA,East,VM_US_001,Finance,1999,1902,1589,97
2023-05-01,USA,East,VM_US_001,System,1230,1902,1589,-672
2023-06-01,USA,East,VM_US_001,Sales,1778,1899,1683,-121
2023-06-01,USA,East,VM_US_001,Marketing,1411,1899,1683,-488
2023-06-01,USA,East,VM_US_001,Finance,1846,1899,1683,-53
2023-06-01,USA,East,VM_US_001,System,1698,1899,1683,-201
2023-07-01,USA,East,VM_US_001,Sales,1399,1531,1495,-132
2023-07-01,USA,East,VM_US_001,Marketing,1736,1531,1495,205
2023-07-01,USA,East,VM_US_001,Finance,1488,1531,1495,-43
2023-07-01,USA,East,VM_US_001,System,1357,1531,1495,-174
2023-08-01,USA,East,VM_US_001,Sales,1535,1539,1656,-4
2023-08-01,USA,East,VM_US_001,Marketing,1639,1539,1656,100
2023-08-01,USA,East,VM_US_001,Finance,1591,1539,1656,52
2023-08-01,USA,East,VM_US_001,System,1860,1539,1656,321
2023-09-01,USA,East,VM_US_001,Sales,1592,1796,1669,-204
2023-09-01,USA,East,VM_US_001,Marketing,1448,1796,1669,-348
2023-09-01,USA,East,VM_US_001,Finance,1857,1796,1669,61
2023-09-01,USA,East,VM_US_001,System,1779,1796,1669,-17
2023-10-01,USA,East,VM_US_001,Sales,1677,2273,1745,-596
2023-10-01,USA,East,VM_US_001,Marketing,1946,2273,1745,-327
2023-10-01,USA,East,VM_US_001,Finance,1715,2273,1745,-558
2023-10-01,USA,East,VM_US_001,System,1642,2273,1745,-631
2023-11-01,USA,East,VM_US_001,Sales,1766,1257,1592,509
2023-11-01,USA,East,VM_US_001,Marketing,1461,1257,1592,204
2023-11-01,USA,East,VM_US_001,Finance,1525,1257,1592,268
2023-11-01,USA,East,VM_US_001,System,1617,1257,1592,360
