Date,Warehouse_ID,SKU,Inbound_Units,Outbound_Units,Coverage_Days,OOS_Flag,LeadTime_Signal_Days
2023-01-01,WH_1,ECO100,328,602,28,0,10
2023-01-01,WH_1,ECO250,231,586,19,0,6
2023-01-01,WH_1,ECO500,350,61,10,0,4
2023-01-01,WH_1,ECOBIO1L,36,126,43,0,4
2023-01-01,WH_2,ECO100,86,67,30,0,7
2023-01-01,WH_2,ECO250,281,329,22,0,3
2023-01-01,WH_2,ECO500,188,368,10,0,5
2023-01-01,WH_2,ECOBIO1L,472,57,44,0,2
2023-01-01,WH_3,ECO100,434,129,5,0,8
2023-01-01,WH_3,ECO250,491,507,35,0,4
2023-01-01,WH_3,ECO500,251,492,9,0,4
2023-01-01,WH_3,ECOBIO1L,375,242,37,0,5
2023-01-01,WH_4,ECO100,149,595,4,0,3
2023-01-01,WH_4,ECO250,319,463,33,0,6
2023-01-01,WH_4,ECO500,151,420,42,0,5
2023-01-01,WH_4,ECOBIO1L,173,394,42,0,2
2023-01-01,WH_5,ECO100,35,452,21,0,4
2023-01-01,WH_5,ECO250,384,506,20,0,11
2023-01-01,WH_5,ECO500,319,338,33,0,11
2023-01-01,WH_5,ECOBIO1L,337,176,3,0,2
2023-01-01,WH_6,ECO100,446,55,40,0,5
2023-01-01,WH_6,ECO250,480,480,6,0,10
2023-01-01,WH_6,ECO500,63,178,21,0,10
2023-01-01,WH_6,ECOBIO1L,340,664,34,0,3
2023-01-01,WH_7,ECO100,240,93,18,0,10
2023-01-01,WH_7,ECO250,307,604,28,0,8
2023-01-01,WH_7,ECO500,80,604,32,0,5
2023-01-01,WH_7,ECOBIO1L,137,507,9,0,5
2023-01-01,WH_8,ECO100,186,768,40,0,3
2023-01-01,WH_8,ECO250,120,540,36,0,7
2023-01-01,WH_8,ECO500,260,88,39,1,11
2023-01-01,WH_8,ECOBIO1L,452,595,41,0,7
2023-01-01,WH_9,ECO100,302,215,9,0,5
2023-01-01,WH_9,ECO250,111,540,38,0,9
2023-01-01,WH_9,ECO500,409,544,42,0,3
2023-01-01,WH_9,ECOBIO1L,92,48,10,0,6
2023-01-01,WH_10,ECO100,81,361,4,0,7
2023-01-01,WH_10,ECO250,382,154,35,0,10
