SKU_ID,Category,Subcategory,Brand,Unit,Weight_g,Lifecycle_Status,Country,MDM_Errors
SKU00000,FreshBite,Zero,FB,SACH,767,Active,FR,Wrong Weight
SKU00001,VitalMeal,Vegan,FB,SACH,1223,Active,VN,Bad Unit
SKU00002,NutriBox,Classic,FB,SACH,1232,New,MA,None
SKU00003,FreshBite,Zero,FB,BOX,1352,Active,VN,Duplicate
SKU00004,FreshBite,Zero,VM,BAG,865,New,MA,Missing Brand
SKU00005,VitalMeal,Vegan,FB,BOX,453,New,FR,None
SKU00006,NutriBox,Classic,NB,BAG,942,PhaseOut,VN,None
SKU00007,NutriBox,Zero,FB,BAG,727,Active,FR,None
SKU00008,FreshBite,Kids,VM,SACH,1384,Active,MA,None
SKU00009,EcoPure,Kids,FB,BAG,117,Active,BR,Missing Brand
SKU00010,FreshBite,Kids,NB,BOX,1536,PhaseOut,MA,None
SKU00011,FreshBite,Classic,VM,BOX,137,PhaseOut,BR,None
SKU00012,FreshBite,Zero,VM,BOX,266,PhaseOut,FR,None
SKU00013,FreshBite,Kids,NB,BAG,50,Active,FR,Bad Unit
SKU00014,VitalMeal,Classic,NB,BOX,1208,Active,VN,None
SKU00015,NutriBox,Kids,NB,BAG,1770,Active,BR,None
SKU00016,VitalMeal,Vegan,NB,BOX,1424,PhaseOut,MA,None
SKU00017,VitalMeal,Zero,NB,BOX,189,PhaseOut,FR,None
SKU00018,VitalMeal,Zero,VM,BAG,667,New,BR,None
SKU00019,FreshBite,Classic,VM,BOX,182,PhaseOut,MA,None
SKU00020,EcoPure,Classic,FB,SACH,1693,New,BR,None
SKU00021,NutriBox,Zero,FB,BAG,227,Active,MA,None
SKU00022,EcoPure,Kids,EP,BAG,859,PhaseOut,MA,Duplicate
SKU00023,VitalMeal,Kids,FB,BAG,1431,Active,MA,None
SKU00024,VitalMeal,Vegan,FB,SACH,429,Active,MA,None
SKU00025,EcoPure,Kids,NB,BAG,957,Active,BR,None
SKU00026,EcoPure,Classic,NB,BOX,1944,Active,BR,None
SKU00027,EcoPure,Classic,FB,BOX,707,PhaseOut,VN,None
SKU00028,VitalMeal,Kids,EP,BOX,499,Active,BR,None
SKU00029,VitalMeal,Classic,NB,BAG,635,New,BR,None
SKU00030,NutriBox,Zero,FB,BOX,512,PhaseOut,VN,None
SKU00031,NutriBox,Zero,FB,BAG,1039,Active,BR,None
SKU00032,VitalMeal,Kids,VM,BOX,1181,PhaseOut,MA,Missing Brand
SKU00033,EcoPure,Zero,EP,SACH,171,New,FR,None
SKU00034,EcoPure,Zero,VM,SACH,66,Active,FR,None
SKU00035,NutriBox,Vegan,EP,SACH,1269,New,VN,None
SKU00036,VitalMeal,Vegan,NB,SACH,376,Active,BR,None
SKU00037,NutriBox,Zero,EP,BAG,367,New,BR,None
SKU00038,NutriBox,Kids,FB,BOX,858,Active,VN,None
SKU00039,FreshBite,Vegan,FB,SACH,1552,PhaseOut,FR,None
SKU00040,FreshBite,Classic,EP,BAG,1325,Active,MA,None
SKU00041,FreshBite,Classic,EP,SACH,552,PhaseOut,BR,None
SKU00042,EcoPure,Classic,EP,SACH,168,Active,VN,Duplicate
SKU00043,VitalMeal,Kids,VM,BAG,1747,Active,MA,None
SKU00044,VitalMeal,Zero,EP,BAG,759,New,VN,None
SKU00045,VitalMeal,Classic,NB,BOX,1571,New,VN,Bad Unit
SKU00046,VitalMeal,Kids,VM,BOX,1559,New,VN,None
SKU00047,FreshBite,Vegan,VM,SACH,94,Active,FR,None
SKU00048,EcoPure,Zero,EP,SACH,363,Active,FR,None
SKU00049,EcoPure,Vegan,NB,BOX,1252,Active,VN,None
SKU00050,FreshBite,Kids,VM,BOX,1967,PhaseOut,BR,None
SKU00051,EcoPure,Classic,FB,BAG,467,PhaseOut,MA,Missing Brand
SKU00052,FreshBite,Classic,VM,BOX,605,Active,BR,None
SKU00053,VitalMeal,Kids,EP,BOX,1856,New,FR,None
SKU00054,FreshBite,Classic,NB,SACH,1151,New,MA,Missing Brand
SKU00055,VitalMeal,Zero,EP,BOX,375,New,VN,Missing Brand
SKU00056,VitalMeal,Kids,FB,SACH,1763,Active,BR,None
SKU00057,NutriBox,Vegan,FB,BOX,1430,New,BR,None
SKU00058,FreshBite,Kids,FB,BAG,1489,Active,VN,None
SKU00059,NutriBox,Zero,EP,BOX,564,PhaseOut,BR,None
SKU00060,FreshBite,Zero,VM,BOX,263,New,FR,None
SKU00061,FreshBite,Kids,EP,BOX,1927,PhaseOut,VN,None
SKU00062,NutriBox,Kids,NB,SACH,123,New,BR,Duplicate
SKU00063,NutriBox,Classic,VM,BAG,1636,Active,VN,None
SKU00064,FreshBite,Zero,FB,BOX,1652,Active,MA,None
SKU00065,EcoPure,Kids,EP,SACH,558,Active,VN,None
SKU00066,VitalMeal,Kids,FB,BAG,381,Active,BR,None
SKU00067,NutriBox,Zero,FB,SACH,1166,New,FR,None
SKU00068,VitalMeal,Kids,NB,SACH,737,PhaseOut,VN,None
SKU00069,EcoPure,Classic,VM,BAG,706,Active,VN,Bad Unit
SKU00070,EcoPure,Zero,NB,BOX,1592,New,BR,None
SKU00071,EcoPure,Classic,NB,SACH,1342,PhaseOut,FR,None
SKU00072,NutriBox,Classic,NB,SACH,1449,Active,FR,None
SKU00073,EcoPure,Classic,FB,BOX,1907,PhaseOut,MA,None
SKU00074,NutriBox,Classic,NB,BOX,1077,Active,MA,None
SKU00075,EcoPure,Zero,NB,BAG,1211,PhaseOut,BR,Bad Unit
SKU00076,VitalMeal,Classic,VM,BAG,1304,PhaseOut,FR,Wrong Weight
SKU00077,VitalMeal,Classic,VM,BAG,649,Active,FR,None
SKU00078,FreshBite,Kids,NB,BOX,1602,New,MA,None
SKU00079,VitalMeal,Zero,VM,SACH,1125,PhaseOut,MA,Bad Unit
SKU00080,FreshBite,Zero,VM,SACH,1719,Active,BR,None
SKU00081,VitalMeal,Vegan,NB,BAG,1796,PhaseOut,FR,None
SKU00082,NutriBox,Zero,FB,BOX,374,PhaseOut,VN,None
SKU00083,VitalMeal,Zero,NB,SACH,1041,New,MA,Missing Brand
SKU00084,FreshBite,Vegan,VM,BAG,1978,PhaseOut,BR,None
SKU00085,FreshBite,Zero,FB,SACH,1804,PhaseOut,FR,Bad Unit
SKU00086,EcoPure,Zero,EP,SACH,766,Active,FR,Missing Brand
SKU00087,NutriBox,Zero,FB,BOX,772,Active,MA,None
SKU00088,VitalMeal,Zero,VM,BOX,326,New,BR,Missing Brand
SKU00089,EcoPure,Vegan,FB,SACH,585,PhaseOut,VN,Bad Unit
SKU00090,VitalMeal,Zero,NB,BAG,1559,PhaseOut,MA,None
SKU00091,VitalMeal,Zero,EP,BOX,1589,PhaseOut,BR,None
SKU00092,EcoPure,Vegan,EP,SACH,201,New,FR,None
SKU00093,EcoPure,Kids,EP,BOX,1004,PhaseOut,VN,None
SKU00094,EcoPure,Classic,VM,BOX,1556,Active,BR,None
SKU00095,EcoPure,Kids,VM,BOX,308,New,VN,None
SKU00096,EcoPure,Vegan,EP,SACH,373,Active,BR,None
SKU00097,VitalMeal,Classic,FB,BAG,1066,Active,BR,Bad Unit
SKU00098,EcoPure,Vegan,EP,BAG,918,New,BR,None
SKU00099,NutriBox,Vegan,FB,BAG,1241,Active,BR,None
SKU00100,FreshBite,Zero,FB,BOX,737,PhaseOut,VN,None
SKU00101,EcoPure,Classic,VM,SACH,359,New,MA,None
SKU00102,EcoPure,Zero,FB,BOX,852,Active,VN,None
SKU00103,VitalMeal,Classic,EP,BAG,1552,PhaseOut,BR,None
SKU00104,EcoPure,Vegan,VM,BAG,1129,PhaseOut,VN,None
SKU00105,EcoPure,Vegan,NB,SACH,669,Active,VN,Missing Brand
SKU00106,EcoPure,Kids,NB,BOX,522,PhaseOut,VN,Missing Brand
SKU00107,VitalMeal,Classic,VM,BAG,1369,New,BR,None
SKU00108,EcoPure,Zero,EP,SACH,510,Active,VN,Missing Brand
SKU00109,FreshBite,Kids,NB,BOX,1397,PhaseOut,FR,Missing Brand
SKU00110,VitalMeal,Kids,NB,BOX,863,PhaseOut,BR,None
SKU00111,FreshBite,Kids,FB,BAG,895,Active,VN,Wrong Weight
SKU00112,VitalMeal,Zero,FB,BAG,1214,Active,FR,Bad Unit
SKU00113,EcoPure,Kids,EP,BOX,716,Active,VN,None
